packet_card_number,venue,position,text,timed,duration_seconds
11,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 3.",false,
11,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 3.",false,
11,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 3.",false,
11,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 3.",false,
11,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 3.",false,
11,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 3.",false,
12,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 4.",false,
12,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 4.",false,
12,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 4.",false,
12,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 4.",false,
12,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 4.",false,
12,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 4.",false,
12,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 4.",false,
12,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 4.",false,
13,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 5.",false,
13,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 5.",false,
13,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 5.",false,
13,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 5.",false,
13,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 5.",false,
13,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 5.",false,
13,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 5.",false,
13,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 5.",false,
14,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 6.",false,
14,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 6.",false,
14,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 6.",false,
14,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 6.",false,
14,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 6.",false,
14,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 6.",false,
14,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 6.",false,
14,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 6.",false,
15,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 7.",false,
15,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 7.",false,
15,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 7.",false,
15,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 7.",false,
15,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 7.",false,
15,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 7.",false,
15,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 7.",false,
15,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 7.",false,
16,the_club,1,"[PLACEHOLDER — awaiting refined content] The Club prompt 1 of 8, packet 8.",false,
16,the_club,2,"[PLACEHOLDER — awaiting refined content] The Club prompt 2 of 8, packet 8.",false,
16,the_club,3,"[PLACEHOLDER — awaiting refined content] The Club prompt 3 of 8, packet 8.",false,
16,the_club,4,"[PLACEHOLDER — awaiting refined content] The Club prompt 4 of 8, packet 8.",false,
16,the_club,5,"[PLACEHOLDER — awaiting refined content] The Club prompt 5 of 8, packet 8.",false,
16,the_club,6,"[PLACEHOLDER — awaiting refined content] The Club prompt 6 of 8, packet 8.",false,
16,the_club,7,"[PLACEHOLDER — awaiting refined content] The Club prompt 7 of 8, packet 8.",false,
16,the_club,8,"[PLACEHOLDER — awaiting refined content] The Club prompt 8 of 8, packet 8.",false,
17,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 1.",false,
17,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 1.",false,
17,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 1.",false,
17,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 1.",false,
17,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 1.",false,
17,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 1.",false,
17,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 1.",false,
17,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 1.",false,
18,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 2.",false,
18,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 2.",false,
18,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 2.",false,
18,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 2.",false,
18,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 2.",false,
18,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 2.",false,
18,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 2.",false,
18,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 2.",false,
19,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 3.",false,
19,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 3.",false,
19,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 3.",false,
19,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 3.",false,
19,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 3.",false,
19,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 3.",false,
19,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 3.",false,
19,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 3.",false,
20,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 4.",false,
20,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 4.",false,
20,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 4.",false,
20,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 4.",false,
20,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 4.",false,
20,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 4.",false,
20,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 4.",false,
20,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 4.",false,
21,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 5.",false,
21,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 5.",false,
21,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 5.",false,
21,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 5.",false,
21,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 5.",false,
21,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 5.",false,
21,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 5.",false,
21,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 5.",false,
22,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 6.",false,
22,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 6.",false,
22,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 6.",false,
22,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 6.",false,
22,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 6.",false,
22,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 6.",false,
22,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 6.",false,
22,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 6.",false,
23,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 7.",false,
23,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 7.",false,
23,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 7.",false,
23,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 7.",false,
23,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 7.",false,
23,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 7.",false,
23,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 7.",false,
23,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 7.",false,
24,royal_show,1,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 1 of 8, packet 8.",false,
24,royal_show,2,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 2 of 8, packet 8.",false,
24,royal_show,3,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 3 of 8, packet 8.",false,
24,royal_show,4,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 4 of 8, packet 8.",false,
24,royal_show,5,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 5 of 8, packet 8.",false,
24,royal_show,6,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 6 of 8, packet 8.",false,
24,royal_show,7,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 7 of 8, packet 8.",false,
24,royal_show,8,"[PLACEHOLDER — awaiting refined content] The Royal Show prompt 8 of 8, packet 8.",false,
25,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 1.",false,
25,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 1.",false,
25,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 1.",false,
25,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 1.",false,
25,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 1.",false,
25,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 1.",false,
25,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 1.",false,
25,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 1.",false,
26,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 2.",false,
26,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 2.",false,
26,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 2.",false,
26,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 2.",false,
26,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 2.",false,
26,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 2.",false,
26,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 2.",false,
26,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 2.",false,
27,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 3.",false,
27,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 3.",false,
27,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 3.",false,
27,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 3.",false,
27,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 3.",false,
27,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 3.",false,
27,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 3.",false,
27,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 3.",false,
28,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 4.",false,
28,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 4.",false,
28,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 4.",false,
28,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 4.",false,
28,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 4.",false,
28,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 4.",false,
28,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 4.",false,
28,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 4.",false,
29,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 5.",false,
29,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 5.",false,
29,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 5.",false,
29,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 5.",false,
29,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 5.",false,
29,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 5.",false,
29,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 5.",false,
29,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 5.",false,
30,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 6.",false,
30,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 6.",false,
30,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 6.",false,
30,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 6.",false,
30,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 6.",false,
30,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 6.",false,
30,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 6.",false,
30,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 6.",false,
31,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 7.",false,
31,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 7.",false,
31,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 7.",false,
31,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 7.",false,
31,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 7.",false,
31,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 7.",false,
31,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 7.",false,
31,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 7.",false,
32,school_play,1,"[PLACEHOLDER — awaiting refined content] The School Play prompt 1 of 8, packet 8.",false,
32,school_play,2,"[PLACEHOLDER — awaiting refined content] The School Play prompt 2 of 8, packet 8.",false,
32,school_play,3,"[PLACEHOLDER — awaiting refined content] The School Play prompt 3 of 8, packet 8.",false,
32,school_play,4,"[PLACEHOLDER — awaiting refined content] The School Play prompt 4 of 8, packet 8.",false,
32,school_play,5,"[PLACEHOLDER — awaiting refined content] The School Play prompt 5 of 8, packet 8.",false,
32,school_play,6,"[PLACEHOLDER — awaiting refined content] The School Play prompt 6 of 8, packet 8.",false,
32,school_play,7,"[PLACEHOLDER — awaiting refined content] The School Play prompt 7 of 8, packet 8.",false,
32,school_play,8,"[PLACEHOLDER — awaiting refined content] The School Play prompt 8 of 8, packet 8.",false,
